,District,Neighborhood,PostalCode,Latitude,Longitude
0,CENTRAL DELHI,"Connaught Place, Bengali Market, Janpath, North Avenue, Pragati Maidan, Baroda House, Krishi Bhawan, Sansadiya Soudh, Lady Harding medical college, Election Commission, Rail Bhawan, Shastri Bhawan, Constitution House, Bhagat Singh market, Secretariat North, Supreme Court, Patiala House, Parliament House, Sansad Marg",110001,28.6517178,77.22193879999999
1,CENTRAL DELHI,"Indraprastha, Gandhi Smarak nidhi, Darya Ganj, A.G.c.r., Ajmeri Gate extn., I.P.estate, Minto Road, Rajghat Power house",110002,28.6409635,77.2454679
2,CENTRAL DELHI,"Pandara Road, Pragati Vihar, Delhi High court, Safdarjung Air port, Golf Links, Lodi Road, Aliganj, C G o complex, Kasturba Nagar, Lodi Colony market",110003,28.59873072584199,77.22299552077939
3,CENTRAL DELHI,Rashtrapati Bhawan,110004,28.61608216098611,77.20450056582615
4,CENTRAL DELHI,"Bank Street, Sat Nagar, Desh Bandhu gupta road, Karol Bagh, Master Prithvi nath marg, Anand Parbat indl. area, Guru Gobind singh marg, Anand Parbat",110005,28.650528711436657,77.1890180623797
5,CENTRAL DELHI,"Jama Masjid, Chandni Chowk, Hauz Qazi, Nangal Poona, S.T. road, Chawri Bazar, Baratooti, Dareeba, Delhi Sadar bazar",110006,28.65598435,77.2316234092723
6,NORTH DELHI,"Rana Pratap bagh, Delhi University, Roop Nagar, R.C.a.o., Kamla Nagar, Padam Nagar, Shakti Nagar, C.C.i., Jawahar Nagar, Malka Ganj, Birla Lines, Gulabi Bagh, Roshan Ara road",110007,28.6815955,77.198412
7,CENTRAL DELHI,"Patel Nagar south, Dada Ghosh bhawan, Patel Nagar east, Patel Nagar west, Patel Nagar",110008,28.6561753,77.1624604
8,NORTH WEST DELHI,"Model Town ii, G.T.b.nagar, Model Town iii, Nirankari Colony, Dr.Mukerjee nagar, Gujranwala Colony, H.S.sangh",110009,28.707809540273853,77.20705596296021
9,SOUTH WEST DELHI,"C.V.d., Aps Colony, 505 A b workshop, Cod, Kirby Place, Dhaula Kuan, Bazar Road, A F palam, Delhi Cantt",110010,28.6517178,77.22193879999999
10,CENTRAL DELHI,"Udyog Bhawan, South Avenue, Gym Khana club, Nirman Bhawan",110011,28.6517178,77.22193879999999
11,CENTRAL DELHI,"Inderpuri, National Physical laboratory, I.A.r.i.",110012,28.6517178,77.22193879999999
12,SOUTH DELHI,"Dargah Sharif, Hazrat Nizamuddin",110013,28.5873743,77.25413445000002
13,SOUTH DELHI,"Hari Nagar ashram, Jungpura, Pratap Market, Jeevan Nagar",110014,28.581379451209692,77.25440131637974
14,WEST DELHI,"Mansarover Garden, N.I.area, L. m. nagar indl. area, Hirankudna, Karam Pura, Nilothi, Nangloi - ii, Ramesh Nagar, Ranhola, Chaukhandi, Tikri Kalan, Jwalaheri, Esi, Peeragarhi, Hastal Village, Bakkarwala, Delhi Industrial area",110015,28.6661772,77.1391256
15,SOUTH WEST DELHI,"Green Park market, Hauz Khas market, Hauz Khas, It Hauz khas",110016,28.548761,77.181531
16,SOUTH DELHI,"Malviya Nagar, Saket, Chirag Delhi, Pushp Vihar, South Malviya nagar, Panchsheel Enclave, Mmtc/stc Colony, Sarvodya Enclave",110017,28.5364391,77.213769
17,WEST DELHI,"M.B.s. nagar, Fateh Nagar, Khyala Phase - ii, Chand Nagar, Tilak Nagar east, Mahabir Nagar, Tilak Nagar, Ashok Nagar, Khyala Phase - i",110018,28.6512679,77.1021935
18,SOUTH DELHI,"Tugalkabad, Govindpuri, Nehru Place, Tehkhand, Chittranjan Park, Ali, Alaknanda, Kalkaji, Lal Kuan",110019,28.54287159179043,77.25500052973075
19,SOUTH DELHI,"Okhla Industrial estate, Okhla Industrial area phase-i, C R r i",110020,28.480862899999995,77.08488829999999
20,SOUTH WEST DELHI,"Anand Niketan, Chanakya Puri",110021,28.579286199999995,77.17164751605836
21,SOUTH WEST DELHI,"Kidwai Nagar west, Kidwai Nagar east, Laxmi Bai nagar",110023,28.575522170688853,77.19669884264502
22,SOUTH DELHI,"Defence Colony, Lajpat Nagar, Krishna Market, Amar Colony",110024,28.572314000000002,77.231729
23,SOUTH DELHI,"Zakir Nagar, Abul Fazal enclave-i, Sukhdev Vihar, New Friends colony, Jamia Nagar",110025,28.539047399999998,77.28850559898574
24,WEST DELHI,"Ashoka Park extn., Punjabi Bagh sec - iii, Shivaji Park, Punjabi Bagh",110026,28.65823252666667,77.13787735999998
25,WEST DELHI,"Janta Market, Subhash Nagar, Rajouri Garden, Subhash Nagar west, J-6 Rajouri garden, Rajouri Market",110027,28.64444884995509,77.11629584407106
